damage,street_type,fire_unit,incident_start_date,structure_type,structure_category,roof_material,eaves,exterior_siding,window_pane,attached_patio_material,attached_fence_material,year_built
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Tile,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1948
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1964
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1983
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Combustible,No Windows,No Patio Cover/Carport,No Fence,1983
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1972
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1980
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1980
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Non Combustible,No Fence,1953
Minor (10-25%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1971
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1957
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1957
Affected (1-9%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Ignition Resistant,No Windows,No Patio Cover/Carport,No Fence,1957
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1976
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Combustible,No Windows,No Patio Cover/Carport,No Fence,1976
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1965
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1960
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1971
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Combustible,No Windows,No Patio Cover/Carport,No Fence,1971
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1992
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Single Pane,Combustible,No Fence,1956
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1953
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1960
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1958
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1954
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1951
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,No Eaves,Combustible,Unknown,No Patio Cover/Carport,No Fence,1951
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Unknown,No Fence,1976
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Non Combustible,1986
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Combustible,Non Combustible,0
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Unknown,No Patio Cover/Carport,Non Combustible,1980
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1971
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1980
Destroyed (>50%),Place,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,Unknown,No Fence,1990
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1972
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1955
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,Non Combustible,1950
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Single Pane,Combustible,No Fence,1962
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Non Combustible,1968
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Non Combustible,1967
Minor (10-25%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1950
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Combustible,Unknown,No Patio Cover/Carport,No Fence,1950
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Combustible,Multi Pane,Combustible,No Fence,1950
Destroyed (>50%),Boulevard,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Unknown,Combustible,Combustible,1950
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1972
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1954
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1954
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1954
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1954
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Non Combustible,1971
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1954
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1990
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Combustible,1962
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1975
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1975
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Multi Family Residence Single Story,Multiple Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1957
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1900
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1975
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Combustible,1959
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,2015
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,0
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,No Eaves,Combustible,Single Pane,Combustible,No Fence,0
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,0
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Concrete,Unenclosed,Combustible,Multi Pane,Unknown,No Fence,1981
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Combustible,Single Pane,Combustible,Non Combustible,1985
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,No Windows,No Patio Cover/Carport,No Fence,1985
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Ignition Resistant,No Windows,No Patio Cover/Carport,Non Combustible,1980
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,2015
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1959
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Unknown,No Fence,0
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,1980
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Mobile Home Triple Wide,Single Residence,Asphalt,Unenclosed,Combustible,Unknown,No Patio Cover/Carport,No Fence,0
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Unknown,No Patio Cover/Carport,No Fence,1982
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Non Combustible,No Fence,1982
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Unknown,No Fence,1976
Destroyed (>50%),Court,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1977
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1963
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,No Windows,No Patio Cover/Carport,No Fence,1963
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,2006
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,2006
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1963
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Multi Family Residence Single Story,Multiple Residence,Asphalt,Unenclosed,Combustible,Single Pane,Non Combustible,Non Combustible,1962
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Combustible,1963
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Non Combustible,1973
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,Combustible,No Fence,1971
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,No Windows,Combustible,No Fence,1971
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Combustible,Single Pane,Combustible,Non Combustible,1938
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Other,Enclosed,Ignition Resistant,Multi Pane,Combustible,Non Combustible,1980
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,School,Nonresidential Commercial,Other,Enclosed,Ignition Resistant,Multi Pane,Combustible,Non Combustible,1967
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,School,Nonresidential Commercial,Asphalt,Enclosed,Ignition Resistant,Multi Pane,Combustible,Non Combustible,1967
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1956
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1956
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1956
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1956
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1956
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1956
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1956
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Non Combustible,1960
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1963
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,No Fence,1963
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Motor Home,Single Residence,Metal,No Eaves,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1963
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1963
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1956
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Motor Home,Single Residence,Asphalt,No Eaves,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1956
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1956
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Combustible,Single Pane,Combustible,No Fence,1949
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,No Fence,1949
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,No Windows,No Patio Cover/Carport,No Fence,1949
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1996
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1983
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Non Combustible,1960
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1960
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Non Combustible,1956
